Negara,Persentase Kematian NCD,Tahun
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",27.0533152966577,2010
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",26.1719074349669,2010
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",25.8807457565148,2011
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",25.3607840674341,2011
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",25.0680048749652,2012
"{'id': 'XH', 'value': 'IDA blend'}",24.9783825555035,2010
"{'id': 'XH', 'value': 'IDA blend'}",24.7268928572591,2011
"{'id': 'XM', 'value': 'Low income'}",24.7084706323281,2010
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",24.6944842759075,2012
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",24.658970185696,2014
"{'id': 'XM', 'value': 'Low income'}",24.5828385633851,2011
"{'id': 'XH', 'value': 'IDA blend'}",24.401639594105,2012
"{'id': 'XM', 'value': 'Low income'}",24.3373850101728,2012
"{'id': 'XH', 'value': 'IDA blend'}",24.3057623168255,2013
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",24.2568644021794,2013
"{'id': 'XM', 'value': 'Low income'}",24.1551258280688,2013
"{'id': 'XH', 'value': 'IDA blend'}",24.0992705580758,2014
"{'id': 'XG', 'value': 'IDA total'}",24.0941003082868,2010
"{'id': 'XM', 'value': 'Low income'}",24.0781435781033,2015
"{'id': 'XM', 'value': 'Low income'}",24.06763641595,2014
"{'id': 'XM', 'value': 'Low income'}",23.9939202608286,2016
"{'id': 'XE', 'value': 'Heavily indebted poor countries (HIPC)'}",23.9925787884245,2010
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",23.926216038081,2010
"{'id': 'XE', 'value': 'Heavily indebted poor countries (HIPC)'}",23.901444332537,2011
"{'id': 'XM', 'value': 'Low income'}",23.8916938111885,2017
"{'id': 'XM', 'value': 'Low income'}",23.8907189106276,2020
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",23.8885230298952,2013
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",23.8594375607073,2010
"{'id': 'XH', 'value': 'IDA blend'}",23.8132089947494,2015
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",23.7954460408513,2014
"{'id': 'XG', 'value': 'IDA total'}",23.7865401456306,2011
"{'id': 'XM', 'value': 'Low income'}",23.7790716696218,2018
"{'id': 'XE', 'value': 'Heavily indebted poor countries (HIPC)'}",23.7481087179448,2012
"{'id': 'XI', 'value': 'IDA only'}",23.6497246304415,2010
"{'id': 'XM', 'value': 'Low income'}",23.6480188502149,2019
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",23.6281418445929,2015
"{'id': 'XH', 'value': 'IDA blend'}",23.6103399507871,2016
"{'id': 'XE', 'value': 'Heavily indebted poor countries (HIPC)'}",23.5470466023803,2013
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",23.5440626560543,2011
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",23.5278202591579,2011
